Date,VTI,VXUS,BND,BTC
2013-01-31,0.054176,0.024007,-0.006902,0.5107327905255368
2013-02-28,0.012816000000000001,-0.011411,0.005365999999999999,0.6354728074473299
2013-03-31,0.039456000000000005,0.009337,0.000787,1.7112043139604554
2013-04-30,0.016057,0.035022000000000005,0.010152000000000001,0.4779005524861879
2013-05-31,0.024435,-0.033029,-0.019261,-0.04897196261682246
2013-06-30,-0.014307,-0.03568,-0.016479,-0.23750000000000004
2013-07-31,0.057457,0.046191,0.0037990000000000003,0.002680688730797076
2013-08-31,-0.030313,-0.019459999999999998,-0.008574,0.29583547557840606
2013-09-30,0.038994,0.075072,0.011149,0.008490715759403411
2013-10-31,0.042613000000000005,0.03669,0.008581,0.6235738453064756
2013-11-30,0.027083,0.001346,-0.00294,4.510322768246583
2013-12-31,0.027299000000000004,0.015202,-0.006344,-0.3431046613896218
2014-01-31,-0.031693,-0.054028,0.015489999999999999,0.0800653375999143
2014-02-28,0.048665,0.055903,0.004694,-0.29723933605226305
2014-03-31,0.005078,0.004861,-0.0017000000000000001,-0.17844102238450543
2014-04-30,0.000616,0.012643999999999999,0.008024,-0.037616747181964505
2014-05-31,0.021019,0.019296,0.01053,0.36965397229101127
2014-06-30,0.026242,0.018878,0.00084,0.053834375814438395
2014-07-31,-0.019947,-0.017314,-0.002772,-0.0936828601017049
2014-08-31,0.041508,0.011621,0.011403000000000002,-0.18190190326761724
2014-09-30,-0.021001,-0.050073,-0.005712,-0.18765895351261197
2014-10-31,0.02746,-0.000784,0.007221,-0.12138164647916239
2014-11-30,0.024803000000000002,-0.005102,0.008307,0.0974940125007302
2014-12-31,-0.000404,-0.038740000000000004,0.0006,-0.1554183521396636
2015-01-31,-0.027357999999999997,0.0026889999999999996,0.024038,-0.27631081421729276
2015-02-28,0.05742,0.057768,-0.013064,0.10972264553489808
2015-03-31,-0.011556,-0.014897,0.005457,-0.04209989406364034
2015-04-30,0.006154,0.048064,-0.0032479999999999996,-0.03096583927254848
2015-05-31,0.012974000000000001,-0.009096,-0.004963,-0.020289119959421842
2015-06-30,-0.016746,-0.027307,-0.011113,0.12593838985244643
2015-07-31,0.017006,-0.005563,0.008801999999999999,0.0908916733724181
2015-08-31,-0.060915,-0.074326,-0.0024690000000000003,-0.1906635287505708
2015-09-30,-0.029220000000000003,-0.038536,0.008097,0.028557788290438868
2015-10-31,0.079113,0.0625,0.00029499999999999996,0.3638972108527787
2015-11-30,0.006008,-0.013166,-0.003922999999999999,0.16579525415338914
2015-12-31,-0.021278000000000002,-0.021729,-0.001771,0.1467544185552785
2016-01-31,-0.057239000000000005,-0.054533,0.012011,-0.12688605017124865
2016-02-29,-0.00010200000000000001,-0.024619,0.008519,0.15007023774815131
2016-03-31,0.071116,0.083323,0.008784,-0.03931690903643614
2016-04-30,0.006583,0.021594000000000002,0.004086,0.09187957298788518
2016-05-31,0.017344,-0.009806,-6.8e-05,0.14630341645611344
2016-06-30,0.002742,-0.008983999999999999,0.0202,0.27509870816881965
2016-07-31,0.039754,0.04518900000000001,0.0059889999999999995,-0.0500097704691328
2016-08-31,0.002064,0.004517,-0.003125,-0.09428797468354433
2016-09-30,0.002068,0.016954,0.001138,0.05866424416065419
2016-10-31,-0.021917,-0.019064,-0.009399,0.15871549035462618
2016-11-30,0.044908000000000003,-0.020082,-0.025744,0.05851859236367263
2016-12-31,0.01984,0.01964,0.003317,0.28085730430804823
2017-01-31,0.018557,0.040759,0.0018570000000000001,0.010167960420583988
2017-02-28,0.036949,0.013403,0.006169,0.24021254250330148
2017-03-31,0.000552,0.029962,-0.00038199999999999996,-0.09894357340487969
2017-04-30,0.010632999999999998,0.020531,0.007947,0.26178712000669946
2017-05-31,0.010113,0.029586,0.007105,0.6858771561101156
2017-06-30,0.009478,0.00633,0.000516,0.09465902628931366
2017-07-31,0.018803,0.033673,0.004041,0.15353046953046956
2017-08-31,0.0014990000000000001,0.005397999999999999,0.008564,0.6424892005085374
2017-09-30,0.024397000000000002,0.018832,-0.00469,-0.12024743798759441
2017-10-31,0.021695000000000002,0.020280999999999997,-0.00026599999999999996,0.5289062031765057
2017-11-30,0.030303,0.006268,-0.0010689999999999999,0.2754706034543588
2017-12-31,0.011599,0.020714999999999997,0.005410000000000001,0.7264111626763377
2018-01-31,0.052313,0.057207999999999995,-0.012381999999999999,-0.29058837603770116
2018-02-28,-0.037596,-0.052447999999999995,-0.010361,0.05778880600985126
2018-03-31,-0.019531,-0.003814,0.006866,-0.3497345801203642
2018-04-30,0.004495,0.004598,-0.008526,0.3531829942604974
2018-05-31,0.027212999999999998,-0.01637,0.006828999999999999,-0.18704584425248316
2018-06-30,0.007033,-0.021358000000000002,-0.000443,-0.2173758470101932
2018-07-31,0.033184,0.025508000000000003,-0.000366,0.3033727481676849
2018-08-31,0.034324,-0.023973,0.0066879999999999995,-0.083859271753563
2018-09-30,0.00196,0.002144,-0.0054600000000000004,-0.068605740567243
2018-10-31,-0.07410599999999999,-0.08555600000000001,-0.008612999999999999,-0.03945864386630704
2018-11-30,0.020135999999999998,0.016808,0.006362,-0.37636773292713877
2018-12-31,-0.091626,-0.049340999999999996,0.018744,-0.06518453686412007
2019-01-31,0.085403,0.076662,0.01111,-0.06998568388048487
2019-02-28,0.035588,0.016326,-0.00089,0.1128140144686629
2019-03-31,0.014171,0.007684,0.019391000000000002,0.07638072546436181
2019-04-30,0.039251,0.027746,-0.000242,0.2797235259481501
2019-05-31,-0.064499,-0.054181,0.018260000000000002,0.6234423534757447
2019-06-30,0.07078000000000001,0.057741,0.012468,0.339817813622348
2019-07-31,0.014125,-0.019905,0.001502,-0.11993086971099742
2019-08-31,-0.020825999999999997,-0.021663,0.027679,-0.03993672836581863
2019-09-30,0.017803,0.027280000000000002,-0.005676,-0.1439075521130917
2019-10-31,0.02106,0.034262,0.003104,0.11509907898409155
2019-11-30,0.037877999999999995,0.00992,-0.00041,-0.16095466307993322
2019-12-31,0.028037,0.043766,-0.000736,-0.07160125234425452
2020-01-31,-0.000611,-0.033938,0.019795,0.3067808283286326
2020-02-29,-0.07998999999999999,-0.065985,0.016671000000000002,-0.07706945155645162
2020-03-31,-0.139103,-0.16257100000000002,-0.014288,-0.24926448103635213
2020-04-30,0.131332,0.076025,0.027589000000000002,0.3618355378569653
2020-05-31,0.053963000000000004,0.050054999999999995,0.006686,0.07690651850777641
2020-06-30,0.022926000000000002,0.042373,0.006711,-0.0376933904799176
2020-07-31,0.057433,0.041489000000000005,0.014542999999999999,0.24035403609235284
2020-08-31,0.071049,0.044327,-0.00942,0.029347863450509326
2020-09-30,-0.035438,-0.01816,-0.000989,-0.08319918483379851
2020-10-31,-0.019494,-0.023001999999999998,-0.005562,0.2935616585488865
2020-11-30,0.11803100000000001,0.126153,0.012133,0.39916751503599257
2020-12-31,0.046755000000000005,0.058579,0.001534,0.49630339843776183
2021-01-31,-0.003339,0.002493,-0.008618,0.12432560314633467
2021-02-28,0.031393,0.023048000000000003,-0.015475000000000001,0.387929178197407
2021-03-31,0.036452,0.018702,-0.012715,0.30303852702337153
2021-04-30,0.050365,0.027751,0.008658,-0.03639336365887491
2021-05-31,0.00456,0.030726,0.0015329999999999999,-0.35419780605071527
2021-06-30,0.0248,-0.003396,0.008981,-0.05739544611755121
2021-07-31,0.017367999999999998,-0.011267000000000001,0.011685000000000001,0.20110510336851228
2021-08-31,0.028585,0.014629000000000001,-0.001896,0.1316389272854115
2021-09-30,-0.044644,-0.034535,-0.010136000000000001,-0.07599003840366847
2021-10-31,0.066874,0.028769999999999997,0.0007000000000000001,0.4038007337172669
2021-11-30,-0.014605,-0.042563000000000004,0.002043,-0.06293150187992069
2021-12-31,0.037883,0.035832,-0.0031019999999999997,-0.18910170642753843
2022-01-31,-0.060594999999999996,-0.028315,-0.020649,-0.1704120007812897
2022-02-28,-0.024867,-0.028493,-0.011385000000000001,0.08369695071315153
2022-03-31,0.032645,-0.002819,-0.027528,0.09873035558541998
2022-04-30,-0.09131600000000001,-0.06494799999999999,-0.039721,-0.16240491631849452
2022-05-31,-0.002514,0.015217000000000001,0.008305,-0.1707700855882529
2022-06-30,-0.082345,-0.07956,-0.016611,-0.41074823802986504
2022-07-31,0.093468,0.036427,0.023798,0.2709891998953622
2022-08-31,-0.037285,-0.044868,-0.02798,-0.15165991243014743
2022-09-30,-0.09224,-0.099076,-0.041813,-0.03820134705374689
2022-10-31,0.081128,0.034083,-0.011593,0.05047739706246479
2022-11-30,0.051692999999999996,0.130361,0.036655,-0.16177668352800156
2022-12-31,-0.05849,-0.021436,-0.008073,-0.033032242976994364
